construction;preposition;lemma;pos;meaning;Masini_freq;dataset_freq
ritardi su ritardi;su;ritardo;pl;nominal;greater_plurality/accumulation;4;4
ritmi su ritmi;su;ritmo;pl;nominal;greater_plurality/accumulation;1;1
riunioni su riunioni;su;riunione;pl;nominal;greater_plurality/accumulation;8;8
rivolte su rivolte;su;rivolta ;pl;nominal;greater_plurality/accumulation;1;0
rivolte su rivolte;su;rivolta;pl;nominal;greater_plurality/accumulation;0;1
rospi su rospi;su;rospo;pl;nominal;greater_plurality/accumulation;1;1
rovescio su rovescio;su;rovescio;sg;modifier;succession/iteration/distributivity;1;1
rovine su rovine;su;rovina;pl;nominal;greater_plurality/accumulation;2;1
ruggine su ruggine;su;ruggine;sg;modifier;juxtaposition/contact;1;1
ruota a ruota;a;ruota;sg;modifier;juxtaposition/contact;1;1
ruota a ruota;a;ruota;sg;nominal;juxtaposition/contact;1;1
sangue su sangue;su;sangue;sg;modifier;succession/iteration/distributivity;2;1
saponi su saponi;su;sapone;pl;nominal;greater_plurality/accumulation;1;1
sassolino su sassolino;su;sassolino;sg;modifier;succession/iteration/distributivity;1;1
sbagli su sbagli;su;sbaglio;pl;nominal;greater_plurality/accumulation;1;1
sbandate su sbandate;su;sbandata;pl;nominal;greater_plurality/accumulation;1;1
scaglia a scaglia;a;scaglia;sg;modifier;succession/iteration/distributivity;2;0
scaglia a scaglia;a;scaglia;sg;nominal;succession/iteration/distributivity;0;2
scatole su scatole;su;scatola;pl;nominal;greater_plurality/accumulation;1;1
scheda su scheda;su;scheda;sg;modifier;succession/iteration/distributivity;1;1
schermo a schermo;a;schermo;sg;modifier;juxtaposition/contact;1;1
scherzi su scherzi;su;scherzo;pl;nominal;greater_plurality/accumulation;1;1
schiaffoni su schiaffoni;su;schiaffone;pl;nominal;greater_plurality/accumulation;1;1
schiena a schiena;a;schiena;sg;modifier;juxtaposition/contact;1;1
schiere su schiere;su;schiera;pl;nominal;greater_plurality/accumulation;1;1
scommesse su scommesse;su;scommessa;pl;nominal;greater_plurality/accumulation;1;2
secondi su secondi;su;secondo;pl;nominal;greater_plurality/accumulation;2;2
